"Serum metabolite","Super pathway","Pollutant","Outcome"
"ADSGEGDFXAEGGGVR*","Peptide","TPHP","HOMA-IR"
"N-carbamoylaspartate","Nucleotide","TMPP","GSP"
"3-hydroxystachydrine*","Xenobiotics","DBP","GSP"
"dihomolinolenate (20:3n3 or 3n6)","Lipid","TMPP","FPG"
"alpha-ketoglutarate","Energy","TPHP","FPG"
"1-palmitoleoylglycerol (16:1)*","Lipid","TPHP","FPG"
"dihomolinolenate (20:3n3 or 3n6)","Lipid","TPHP","FPG"
"margarate (17:0)","Lipid","TMPP","FPG"
"eicosanedioate (C20-DC)","Lipid","DPHP","GSP"
"arachidonate (20:4n6)","Lipid","TMPP","FPG"
"palmitate (16:0)","Lipid","TPHP","FPG"
"gamma-glutamylhistidine","Peptide","TMPP","FPG"
"S-adenosylhomocysteine (SAH)","Amino Acid","TMPP","FPG"
"1-palmitoyl-GPC (16:0)","Lipid","TMPP","GSP"
"2-hydroxysebacate","Lipid","TMPP","FPG"
"1-arachidonoyl-GPA (20:4)","Lipid","TMPP","GSP"
