"","drug target","DEG by microarray","DEG by RNA-seq","DEG by proteome","DEG with DAM","DEG with DAA","Demonstration track","Sum"
"TSPAN5","N","Y","Y","N","N","N","Y",2
"TXLNG","N","N","N","N","N","N","N",0
"TXNDC5","N","N","N","N","N","N","N",0
"VAV1","N","N","N","Y","N","N","N",2
"VSNL1","N","Y","Y","Y","N","Y","Y",5
"WDFY3","N","N","N","N","N","N","N",0
"YBX1","N","N","Y","N","N","N","Y",2
"YEATS4","N","Y","N","N","N","N","N",1
"YOD1","N","N","Y","N","N","Y","Y",2
"ZDHHC7","N","N","N","N","N","N","N",0
