domain,edge,x,y,n_genomes
Bacteria,1,0,-0,30163
Bacteria,1,0,-0,30163
Bacteria,1,0,-0,30163
Bacteria,1,0,-0,30163
Bacteria,1,0,-0,30163
Bacteria,1,0,-0,30163
Bacteria,1,0,-0,30163
Bacteria,1,0.00636045083492377,-3.38027100123434e-4,30163
Bacteria,60706,0,-0,0
Bacteria,60706,0,-0,0
Bacteria,60706,0,-0,0
Bacteria,60706,0,-0,0
Bacteria,60706,0,-0,0
Bacteria,60706,0,-0,0
Bacteria,60706,0,-0,0
Bacteria,60706,0.885349623018402,-0.0011097019745264667,0
Bacteria,60835,0,-0,0
Bacteria,60835,0,-0,0
Bacteria,60835,0,-0,0
Bacteria,60835,0,-0,0
Bacteria,60835,0,-0,0
Bacteria,60835,0,-0,0
Bacteria,60835,0,-0,0
Bacteria,60835,0.9872611279889059,-1.9116558127849575e-4,0
Bacteria,2,0.00636045083492377,-3.38027100123434e-4,30163
Bacteria,2,0.0063579127750010124,-3.828084238614286e-4,30163
Bacteria,2,0.006355059432079165,-4.2757076448465153e-4,30163
Bacteria,2,0.006351890947652857,-4.7231190227013203e-4,30163
Bacteria,2,0.006348407478844295,-5.17029618546328e-4,30163
Bacteria,2,0.006344609198395467,-5.6172169580316e-4,30163
Bacteria,2,0.0063404962946595755,-6.063859178019633e-4,30163
Bacteria,2,0.012680992589319151,-0.0012127718356039266,30163
Bacteria,60699,0.00636045083492377,-3.38027100123434e-4,0
Bacteria,60699,0.006362673485987401,-2.9322901393498245e-4,0
Bacteria,60699,0.006364580617972699,-2.484163867916231e-4,0
Bacteria,60699,0.0063661721363067565,-2.035914409099943e-4,0
Bacteria,60699,0.0063674479620676565,-1.5875639911759254e-4,0
Bacteria,60699,0.006368408031988383,-1.1391348474256097e-4,0
Bacteria,60699,0.006369052298459957,-6.90649215034538e-5,0
Bacteria,60699,0.9872031062612936,-0.01070506283303534,0
Bacteria,3,0.012680992589319151,-0.0012127718356039266,30163
Bacteria,3,0.012662776074754767,-0.0013901405167175123,30163
Bacteria,3,0.01264207883229991,-0.0015672368594172083,30163
Bacteria,3,0.012618904916691575,-0.001744026169269996,30163
Bacteria,3,0.012593258867864643,-0.0019204738119927424,30163
Bacteria,3,0.012565145710062472,-0.002096545220237334,30163
Bacteria,3,0.012534570950852617,-0.0022722059003627013,30163
Bacteria,3,0.018801856426278928,-0.003408308850544052,30163
Bacteria,60692,0.012680992589319151,-0.0012127718356039266,0
Bacteria,60692,0.012696724807248306,-0.0010351655638625354,0
Bacteria,60692,0.012709969646488848,-8.573564958251166e-4,0
Bacteria,60692,0.012720724512282575,-6.793794655526508e-4,0
Bacteria,60692,0.01272898729767479,-5.012693400111492e-4,0
Bacteria,60692,0.012734756383927069,-3.2306101224093226e-4,0
Bacteria,60692,0.012738030640834386,-1.4478939452080222e-4,0
Bacteria,60692,0.980828359344248,-0.011148783378101774,0
Bacteria,4,0.018801856426278928,-0.003408308850544052,30163
