domain,label,theta,a0,a1,n_tips
Bacteria,Gammaproteobacteria,4.622905070114299,4.161750538882412,5.084059601346185,5954
Bacteria,Pelagibacterales,5.772306017961325,5.640326286483473,5.904285749439178,1704
Bacteria,Bacteroidota,3.7603121889706106,3.4648293981325775,4.055794979808644,3815
Bacteria,Actinobacteriota,2.7009889569150998,2.444310066001013,2.9576678478291867,3314
Bacteria,Firmicutes,2.1224932911826575,1.9761847743037466,2.268801808061568,1889
Archaea,Poseidoniia,1.0875447941252994,0.8660926492548515,1.3089969389957472,629
Archaea,Halobacterota,0.6594274520546084,0.5105017648046888,0.8083531393045281,423
Archaea,Crenarchaeota,0.29855551486508697,0.1978634426346449,0.39924758709552904,286
