"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0019692"	"deoxyribose phosphate metabolic process"	"12/2271"	"33/18866"	0.000278678287582615	0.0152526598471556	0.0141120170441271	"TBPL1/NUDT1/DUT/CMPK2/TDG/GUK1/AK5/DCK/DTYMK/DCTPP1/NUDT16/NT5M"	12
"BP"	"GO:0009265"	"2'-deoxyribonucleotide biosynthetic process"	"7/2271"	"13/18866"	0.000321353473636029	0.0172797964332356	0.0159875578573492	"TBPL1/DUT/CMPK2/GUK1/AK5/DCK/DTYMK"	7
"BP"	"GO:0046385"	"deoxyribose phosphate biosynthetic process"	"7/2271"	"13/18866"	0.000321353473636029	0.0172797964332356	0.0159875578573492	"TBPL1/DUT/CMPK2/GUK1/AK5/DCK/DTYMK"	7
"BP"	"GO:0036151"	"phosphatidylcholine acyl-chain remodeling"	"11/2271"	"29/18866"	0.000325947127375946	0.0173743990505613	0.0160750857876577	"PLA2G10/PLA2G4C/PLA2G2D/PLBD1/PLA2G5/MBOAT2/PLA2G2F/PLA2G4F/PLA2G1B/TMEM86B/PLA2G2A"	11
"BP"	"GO:1903706"	"regulation of hemopoiesis"	"86/2271"	"498/18866"	0.000335124877190769	0.0176262020722993	0.0163080581721557	"KMT2E/SCIN/LTF/HMGB3/PSMA4/PITHD1/CLDN18/TCF3/HOXA9/TNRC6C/TP73/PTPRC/GNAS/TESC/TNRC6A/XBP1/FBXO7/RBFOX2/PSMA3/PSMB5/PSME2/PSMA7/GATA1/CA2/JAK3/MAPK14/LOX/BCL6/KAT2B/STAT1/FOXO3/SLC46A2/CSF3R/NFE2/INHA/FAM210B/IL1B/PSMF1/NDFIP1/LGALS3/MEIS2/LMO2/HLX/PSMB7/PIM1/CUL4A/SOD1/PSMB6/PSMA5/PURB/TMEM178A/PSMA8/FLCN/KLF10/H4C8/C1QC/PSMB4/TAL1/TRIM58/H3-3A/PSMD6/HMGB2/CARTPT/GFI1B/AXL/PRDX2/PRELID1/FAXDC2/FOS/TRIB1/PSMD2/IFNL1/MIXL1/ISG15/HMGB1/H4C3/PNP/PSMB8/HSPA1B/HSPA1A/LILRB3/NME1/PSMB9/N4BP2L2/RHEX/PSMB3"	86
"BP"	"GO:1903749"	"positive regulation of establishment of protein localization to mitochondrion"	"17/2271"	"58/18866"	0.000336421801379938	0.0176262020722993	0.0163080581721557	"TP73/SH3GLB1/E2F1/GSK3A/YWHAE/UBE2D3/HTRA2/RHOU/YWHAH/PMAIP1/PINK1/YWHAG/UBE2L3/TFDP1/UBL5/LEPROT/PPP3R1"	17
"BP"	"GO:0044106"	"cellular amine metabolic process"	"30/2271"	"131/18866"	0.000350527832263534	0.0182096238286056	0.0168478497790894	"GDE1/PSMA4/SMOX/SIRT4/PSMA3/PSMB5/PSME2/PSMA7/OAZ1/ODC1/PSMF1/SAT1/PSMB7/HDC/PSMB6/AZIN2/PSMA5/PSMA8/PSMB4/PSMD6/HPRT1/GPR37/SULT1B1/PSMD2/HTR1A/OAZ2/IDO2/PSMB8/PSMB9/PSMB3"	30
"BP"	"GO:0009615"	"response to virus"	"64/2271"	"349/18866"	0.000369867701525642	0.019052848826489	0.0176280157082721	"PLA2G10/UFD1/PTPRC/IRAK3/DDX17/RIOK3/CCL22/BNIP3L/ZC3HAV1/HSPB1/BIRC2/APOBEC1/MAPK14/TRIM38/POLR3G/SELENOK/STAT1/ODC1/GBP1/STMN1/NPC2/IFIT3/IL1B/IFI6/APOBEC3A/SEC14L1/TRIM22/LAMTOR5/RSAD2/RPS15A/USP15/HMGA1/IFI44L/IFI44/PPM1B/PARP9/PMAIP1/IFITM3/FCN3/LCN2/MX1/IFNGR2/DTX3L/DDX21/IFI27/VWCE/CXCL10/RNASE2/BCL2L1/AZU1/EXOSC4/IFNL1/IFITM2/IFNLR1/NLRP9/ISG15/PLSCR1/PCBP2/IFIT1B/DEFA1/IRF9/DEFA3/APOBEC3C/CCL4"	64
"BP"	"GO:0045648"	"positive regulation of erythrocyte differentiation"	"12/2271"	"34/18866"	0.000383870954642193	0.019609407932972	0.0181429535404573	"GATA1/MAPK14/STAT1/FOXO3/FAM210B/TAL1/TRIM58/HMGB2/ISG15/HSPA1B/HSPA1A/RHEX"	12
"BP"	"GO:0042176"	"regulation of protein catabolic process"	"71/2271"	"397/18866"	0.000389405511235497	0.0196698432484285	0.0181988693092699	"GCLC/HECW1/NOS2/RNF14/GABARAPL2/USP13/PTPN3/UBE2K/NRDC/HSP90AA1/IRAK3/RBX1/DESI1/PSME2/FAM83D/ZDHHC2/OAZ1/FZR1/GSK3A/SNX3/ODC1/SUMO1/CDC20/FBXL5/C4BPB/IL1B/PSMF1/MGAT3/APOE/ATP5IF1/RGN/NDFIP1/DYSF/DNAJB2/UQCC2/FURIN/NKD1/AZIN2/SNCA/ALAD/GJA1/SH3RF2/PINK1/SNF8/ZER1/MAD2L1/SERPINB12/RILP/RAB26/DDB1/UBB/PSME3IP1/TRIB1/PSMD2/NUPR1/ZFAND2A/RAD23A/OAZ2/YOD1/CAV3/PTTG1IP/GRIN2A/SVIP/UBE2J1/HSPA1B/HSPA1A/BAG6/GPX1/SEC22B/EGLN2/TAF9"	71
"BP"	"GO:0036150"	"phosphatidylserine acyl-chain remodeling"	"9/2271"	"21/18866"	0.000394426590188795	0.0196698432484285	0.0181988693092699	"PLA2G10/PLA2G2D/PLA2G5/OSBPL10/PLA1A/PLA2G2F/PLA2G4F/PLA2G1B/PLA2G2A"	9
"BP"	"GO:0052547"	"regulation of peptidase activity"	"81/2271"	"466/18866"	0.000400128732017581	0.0196698432484285	0.0181988693092699	"LTF/SERPINB1/NLRP2/KARS1/PICALM/NRDC/LXN/BIRC5/SERPIND1/PSMA3/SERPINA4/PSME2/MMP9/R3HDML/CST9L/CST4/EPPIN/PCSK1N/CARD8/SERPINE1/AMBP/YWHAE/BIRC2/MAPK14/KNG1/HTRA2/HSPE1/SERPINC1/TNFSF10/SPINK4/ITIH5/WFDC3/PSMF1/PRDX5/IFI6/VIL1/PPARG/LAMTOR5/NGF/KHDC1/ANP32B/FURIN/ARRB2/PMAIP1/S100A8/AHSG/SNCA/SPINT4/SPOCK1/PINK1/CPAMD8/S100A9/PTTG1/PRDX3/SERPINB12/WFDC13/PRELID1/SERPINA6/CST1/ARL6IP1/CST9/WFDC5/UBE2O/SVBP/TNFSF15/SIAH2/WFDC10B/GRIN2A/RPS27L/SERPINA11/SERPINA5/HMGB1/SERPINB2/PSMB8/SERPINB5/FIS1/GPX1/PSMB9/AQP1/CARD18/KHDC1L"	81
"BP"	"GO:0046942"	"carboxylic acid transport"	"64/2271"	"350/18866"	0.000400561774674051	0.0196698432484285	0.0181988693092699	"NOS2/SLC38A5/SLC11A1/ATP1A2/SLC7A9/CASR/XK/MPC1/SYT1/PLA2G10/SLC6A15/ACACB/SLCO1A2/SLC7A8/SLC7A5/AQP9/SLC17A7/SLC1A6/SLC1A5/APBA1/FOLR1/TSPO2/PLA2G2D/SLC2A1/ARG1/IL1B/PLA2G5/APOE/SLC6A8/SLC6A6/PPARG/CD36/GLS2/SLC3A1/PLA2G12B/MPC2/SLC25A38/SLC10A6/SLC25A48/SLC43A1/ACSL1/GJA1/SLC16A12/ATP5PF/SLC13A3/PLA2G2F/PLA2G4F/SLC38A11/ARL6IP1/PLA2G1B/LRRC8E/SLC22A13/SLC26A9/SLC38A9/ERFE/SLC17A8/SLC35D3/SLC25A18/CYP4F2/SLC36A3/RXRA/PLA2G2A/SLC22A4/SLC22A6"	64
"BP"	"GO:0070585"	"protein localization to mitochondrion"	"32/2271"	"144/18866"	0.000402118554003255	0.0196698432484285	0.0181988693092699	"TP73/HSP90AA1/DNAJA1/SIRT4/SH3GLB1/FBXO7/E2F1/BNIP3L/GSK3A/YWHAE/UBE2D3/HTRA2/RHOU/YWHAH/ATP5IF1/TIMM10/PMAIP1/TIMM8B/HK1/PINK1/MFF/YWHAG/DDIT3/RNF186/UBE2L3/TFDP1/UBL5/LEPROT/FIS1/SIAH3/PPP3R1/TIMM23"	32
"BP"	"GO:0032984"	"protein-containing complex disassembly"	"61/2271"	"330/18866"	0.000404306729086786	0.0196698432484285	0.0181988693092699	"SCIN/GABARAPL2/WNT8A/LRP6/SPTB/WNT8B/ADD2/ACTN2/CHMP5/ADD1/TPX2/IRAK3/MCOLN1/GSPT1/NAPA/MRPL27/HSPA8/MRPL51/MRPL18/SEMA5A/MRPL37/CAPZA1/MRPS15/STMN1/MRPS14/NFE2/MRPS7/ATG14/VIL1/MRPL34/CHMP2A/EIF5A/MICAL2/MRPL47/TMOD1/HMGA1/GABARAPL1/MAP1LC3B/KIF2B/SH3GL1/DYRK3/DMTN/TMOD4/MRPS18C/SPTA1/APEH/BMERB1/GABARAP/KIF5B/MRPL36/CHCHD1/TRMT112/SMCR8/GADD45GIP1/MRPL14/H2AW/FRAT2/MAP1LC3C/CAPZA2/STMND1/MRPL20"	61
"BP"	"GO:0019731"	"antibacterial humoral response"	"17/2271"	"59/18866"	0.000420233621368173	0.0201252507733352	0.0186202199994384	"LTF/CTSG/WFDC3/JCHAIN/CAMP/DEFA4/KLK5/WFDC13/PLA2G1B/FGA/WFDC5/WFDC10B/H2BC21/ELANE/RPL39/DEFA1/DEFA3"	17
"BP"	"GO:0045454"	"cell redox homeostasis"	"17/2271"	"59/18866"	0.000420233621368173	0.0201252507733352	0.0186202199994384	"GCLC/MPO/NOS2/SLC11A1/NOS1/TXNL1/NCF4/PRDX1/PRDX6/PRDX5/TXN/PRDX3/PRDX2/GLRX/DDIT3/GPX1/EGLN2"	17
"BP"	"GO:0001738"	"morphogenesis of a polarized epithelium"	"32/2271"	"145/18866"	0.000457482836786161	0.0216468858790701	0.0200280623536412	"PSMA4/AP2S1/RAB10/PSMA3/PSMB5/PSME2/PSMA7/LAMA1/PLEKHA4/IFT20/PSMF1/ANKRD6/PSMB7/NKD1/CLTC/ARRB2/PSMB6/PSMA5/PSMA8/TIAM1/PSMB4/AP2M1/VANGL2/PSMD6/PRICKLE2/FZD4/PSMD2/MAGI2/AP2A1/PSMB8/PSMB9/PSMB3"	32
"BP"	"GO:0000303"	"response to superoxide"	"11/2271"	"30/18866"	0.00045906935795744	0.0216468858790701	0.0200280623536412	"MPO/BMP7/SOD3/PRDX1/RGN/GCH1/CD36/SOD1/PRDX2/CCS/DHFR"	11
"BP"	"GO:0052548"	"regulation of endopeptidase activity"	"76/2271"	"434/18866"	0.000475288687553565	0.0222406080511707	0.0205773840782532	"LTF/SERPINB1/NLRP2/PICALM/NRDC/LXN/BIRC5/SERPIND1/PSMA3/SERPINA4/PSME2/MMP9/CST9L/CST4/EPPIN/PCSK1N/CARD8/SERPINE1/AMBP/YWHAE/BIRC2/KNG1/HTRA2/HSPE1/SERPINC1/TNFSF10/SPINK4/ITIH5/WFDC3/PSMF1/PRDX5/IFI6/VIL1/PPARG/LAMTOR5/NGF/KHDC1/ANP32B/FURIN/ARRB2/PMAIP1/S100A8/AHSG/SNCA/SPINT4/SPOCK1/CPAMD8/S100A9/PTTG1/PRDX3/SERPINB12/WFDC13/PRELID1/SERPINA6/CST1/ARL6IP1/CST9/WFDC5/UBE2O/TNFSF15/SIAH2/WFDC10B/GRIN2A/RPS27L/SERPINA11/SERPINA5/HMGB1/SERPINB2/PSMB8/SERPINB5/FIS1/GPX1/PSMB9/AQP1/CARD18/KHDC1L"	76
"BP"	"GO:0010257"	"NADH dehydrogenase complex assembly"	"18/2271"	"65/18866"	0.000490560061021339	0.0225261024242712	0.0208415282668453	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/NDUFB3/NDUFA1/ECSIT/NDUFA2/NDUFS6/NDUFB11/NDUFB9/NDUFC2/NDUFB6/NDUFA3/NDUFAF3/NDUFB1/NDUFA6/NDUFAF8"	18
"BP"	"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"18/2271"	"65/18866"	0.000490560061021339	0.0225261024242712	0.0208415282668453	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/NDUFB3/NDUFA1/ECSIT/NDUFA2/NDUFS6/NDUFB11/NDUFB9/NDUFC2/NDUFB6/NDUFA3/NDUFAF3/NDUFB1/NDUFA6/NDUFAF8"	18
"BP"	"GO:0031668"	"cellular response to extracellular stimulus"	"49/2271"	"253/18866"	0.00049241398447836	0.0225261024242712	0.0208415282668453	"AOC1/MYH13/GABARAPL2/CASR/NUAK1/PTPRC/TNRC6A/SH3GLB1/DEPDC5/XBP1/NPRL3/NAMPT/NUDT1/HSPA8/FOLR1/CPEB4/PRKAG3/SLC2A1/FOXO3/FGF23/ATG14/PPARG/WNT2B/GLUL/PIM1/GABARAPL1/MAP1LC3B/PMAIP1/LCN2/SESN3/FLCN/KLF10/RRAGA/WIPI2/KCNB1/INHBB/CARTPT/AXL/FAM107A/GABARAP/FOS/NIM1K/DCTPP1/HIGD1A/UPP1/BECN2/WDR45/KANK2/MAP1LC3C"	49
"BP"	"GO:0009144"	"purine nucleoside triphosphate metabolic process"	"22/2271"	"87/18866"	0.000498571766010056	0.0226388513010492	0.0209458454211476	"VPS9D1/GTPBP1/NME4/NUDT1/RAB23/ATP5PB/ATP5F1E/RAN/COX5B/GUK1/PID1/ATP5MC3/ATP5PF/FLCN/PINK1/STOML2/ATP5F1C/ATP5MG/ATP5PD/NUDT16/NME1/ATP5MF"	22
"BP"	"GO:0015849"	"organic acid transport"	"64/2271"	"353/18866"	0.000506893683979275	0.022776176412549	0.0210729009205485	"NOS2/SLC38A5/SLC11A1/ATP1A2/SLC7A9/CASR/XK/MPC1/SYT1/PLA2G10/SLC6A15/ACACB/SLCO1A2/SLC7A8/SLC7A5/AQP9/SLC17A7/SLC1A6/SLC1A5/APBA1/FOLR1/TSPO2/PLA2G2D/SLC2A1/ARG1/IL1B/PLA2G5/APOE/SLC6A8/SLC6A6/PPARG/CD36/GLS2/SLC3A1/PLA2G12B/MPC2/SLC25A38/SLC10A6/SLC25A48/SLC43A1/ACSL1/GJA1/SLC16A12/ATP5PF/SLC13A3/PLA2G2F/PLA2G4F/SLC38A11/ARL6IP1/PLA2G1B/LRRC8E/SLC22A13/SLC26A9/SLC38A9/ERFE/SLC17A8/SLC35D3/SLC25A18/CYP4F2/SLC36A3/RXRA/PLA2G2A/SLC22A4/SLC22A6"	64
"BP"	"GO:0031669"	"cellular response to nutrient levels"	"44/2271"	"221/18866"	0.000509027107425646	0.022776176412549	0.0210729009205485	"AOC1/MYH13/GABARAPL2/CASR/NUAK1/TNRC6A/SH3GLB1/DEPDC5/XBP1/NPRL3/NAMPT/HSPA8/FOLR1/CPEB4/PRKAG3/SLC2A1/FOXO3/FGF23/ATG14/PPARG/WNT2B/GLUL/PIM1/GABARAPL1/MAP1LC3B/PMAIP1/LCN2/SESN3/FLCN/KLF10/RRAGA/WIPI2/KCNB1/INHBB/CARTPT/FAM107A/GABARAP/NIM1K/HIGD1A/UPP1/BECN2/WDR45/KANK2/MAP1LC3C"	44
"BP"	"GO:0000083"	"regulation of transcription involved in G1/S transition of mitotic cell cycle"	"12/2271"	"35/18866"	0.000520719829868595	0.0229019574515633	0.0211892756502143	"E2F1/CDK16/PCNA/CCNA1/CDK15/BRD4/BACH1/CDT1/RRM2/TFDP1/E2F4/DHFR"	12
"BP"	"GO:0006691"	"leukotriene metabolic process"	"12/2271"	"35/18866"	0.000520719829868595	0.0229019574515633	0.0211892756502143	"ALOX5/CPA1/LTA4H/PLA2G5/ALOX5AP/GGT2/TLR2/MGST3/GGTLC1/PLA2G1B/CYP4F2/CYP4F3"	12
"BP"	"GO:0072655"	"establishment of protein localization to mitochondrion"	"31/2271"	"140/18866"	0.000524079912612611	0.0229019574515633	0.0211892756502143	"TP73/HSP90AA1/DNAJA1/SIRT4/SH3GLB1/FBXO7/E2F1/BNIP3L/GSK3A/YWHAE/UBE2D3/HTRA2/RHOU/YWHAH/ATP5IF1/TIMM10/PMAIP1/TIMM8B/HK1/PINK1/MFF/YWHAG/DDIT3/UBE2L3/TFDP1/UBL5/LEPROT/FIS1/SIAH3/PPP3R1/TIMM23"	31
"BP"	"GO:0002478"	"antigen processing and presentation of exogenous peptide antigen"	"37/2271"	"177/18866"	0.000528804920363712	0.0229019574515633	0.0211892756502143	"PSMA4/AP2S1/KIF22/DYNLL1/NCF4/PSMA3/PSMB5/PSME2/PSMA7/CAPZA1/PSMF1/AP1M2/CTSL/CD36/PSMB7/DCTN3/KIF2B/CLTC/PSMB6/PSMA5/FCGR1A/PSMA8/FCER1G/PSMB4/AP2M1/PSMD6/RILP/PSMD2/CALR/CTSE/AP2A1/FCGR1B/CAPZA2/PSMB8/PSMB9/SEC22B/PSMB3"	37
"BP"	"GO:0002227"	"innate immune response in mucosa"	"10/2271"	"26/18866"	0.000534254472361102	0.0229019574515633	0.0211892756502143	"NOS2/LTF/CAMP/DEFA4/RNASE2/PLA2G1B/H2BC21/RPL39/DEFA1/DEFA3"	10
"BP"	"GO:0036152"	"phosphatidylethanolamine acyl-chain remodeling"	"10/2271"	"26/18866"	0.000534254472361102	0.0229019574515633	0.0211892756502143	"PLA2G10/PLA2G4C/PLA2G2D/PLBD1/PLA2G5/MBOAT2/PLA2G2F/PLA2G4F/PLA2G1B/PLA2G2A"	10
"BP"	"GO:0030111"	"regulation of Wnt signaling pathway"	"67/2271"	"375/18866"	0.000574554633431499	0.0243496210805345	0.0225286783518365	"HECW1/ISL1/WWTR1/PSMA4/WNK1/CDH3/FGFR2/LRP6/RBX1/PSMA3/PPM1A/PSMB5/PSME2/PSMA7/GID8/DKKL1/PLEKHA4/GSK3A/IFT20/FOLR1/MAPK14/SNX3/SEMA5A/STK11/FOXO3/UBE2B/TNN/EGR1/PSMF1/APOE/TRPM4/LRP4/ANKRD6/PSMB7/TLR2/SULF1/PPM1B/NKD1/PSMB6/PSMA5/RBMS3/RSPO2/HHEX/PSMA8/DKK2/GNAQ/TIAM1/PSMB4/AMFR/VANGL2/PSMD6/GPRC5B/RBPJ/CDH2/MCC/FZD4/PSMD2/DDIT3/SIAH2/NOG/KREMEN1/ATP6V0C/SHISA6/PSMB8/PSMB9/HNF1B/PSMB3"	67
"BP"	"GO:0031936"	"negative regulation of chromatin silencing"	"7/2271"	"14/18866"	0.00057596982980057	0.0243496210805345	0.0225286783518365	"ASF1A/H1-3/HMGA1/H1-4/H1-5/H1-2/H1-0"	7
"BP"	"GO:0009200"	"deoxyribonucleoside triphosphate metabolic process"	"8/2271"	"18/18866"	0.000622758314898016	0.0261473182898962	0.0241919380005084	"TBPL1/NUDT1/DUT/CMPK2/GUK1/DTYMK/DCTPP1/NUDT16"	8
"BP"	"GO:0000305"	"response to oxygen radical"	"11/2271"	"31/18866"	0.000634794094694446	0.0264713455814759	0.0244917334924001	"MPO/BMP7/SOD3/PRDX1/RGN/GCH1/CD36/SOD1/PRDX2/CCS/DHFR"	11
"BP"	"GO:0033209"	"tumor necrosis factor-mediated signaling pathway"	"36/2271"	"173/18866"	0.000681542606586868	0.0282287579620101	0.0261177209408965	"PSMA4/KARS1/CLDN18/UBE2K/PSMA3/PSMB5/PSME2/PSMA7/TNFSF13B/CARD8/TAX1BP1/BIRC2/STAT1/FOXO3/CD70/PSMF1/TXNDC17/PLVAP/GPS2/EDAR/PSMB7/PSMB6/PSMA5/PSMA8/PSMB4/PSMD6/PSMD2/SPHK1/SHARPIN/TNFSF15/CASP4/PSMB8/HSPA1B/HSPA1A/PSMB9/PSMB3"	36
"BP"	"GO:0033572"	"transferrin transport"	"12/2271"	"36/18866"	0.000696350183648751	0.0286485008440728	0.026506074104553	"TFRC/MCOLN1/ATP6V1D/ATP6V0A4/TFR2/STEAP3/CLTC/ATP6V1B2/ATP6V0D2/ATP6V1C1/RAB11B/ATP6V0C"	12
"BP"	"GO:0043488"	"regulation of mRNA stability"	"38/2271"	"186/18866"	0.000712482842426505	0.0291167988271632	0.0269393512631159	"SLC11A1/PSMA4/YBX3/YBX1/IGF2BP2/HNRNPC/PSMA3/PSMB5/PSME2/PSMA7/E2F1/HSPB1/HSPA8/APOBEC1/MAPK14/RBM24/TARDBP/PSMF1/IGF2BP3/PSMB7/HNRNPD/PSMB6/SERBP1/PSMA5/PSMA8/TENT5B/IGF2BP1/PSMB4/PSMD6/UBB/PSMD2/EXOSC4/TENT5C/PSMB8/HSPA1A/UBA52/PSMB9/PSMB3"	38
"BP"	"GO:0051607"	"defense response to virus"	"49/2271"	"258/18866"	0.000775796922276504	0.0314942724076488	0.02913902974713	"PLA2G10/UFD1/PTPRC/DDX17/RIOK3/BNIP3L/ZC3HAV1/BIRC2/APOBEC1/TRIM38/POLR3G/SELENOK/STAT1/GBP1/IFIT3/IL1B/IFI6/APOBEC3A/SEC14L1/TRIM22/RSAD2/USP15/IFI44L/PPM1B/PARP9/PMAIP1/IFITM3/FCN3/MX1/DTX3L/DDX21/IFI27/CXCL10/RNASE2/BCL2L1/AZU1/EXOSC4/IFNL1/IFITM2/IFNLR1/NLRP9/ISG15/PLSCR1/PCBP2/IFIT1B/DEFA1/IRF9/DEFA3/APOBEC3C"	49
"BP"	"GO:0030178"	"negative regulation of Wnt signaling pathway"	"43/2271"	"219/18866"	0.000788560187047816	0.0318018022802836	0.0294235615499559	"HECW1/ISL1/WWTR1/PSMA4/LRP6/RBX1/PSMA3/PSMB5/PSME2/PSMA7/DKKL1/GSK3A/MAPK14/STK11/FOXO3/TNN/EGR1/PSMF1/APOE/LRP4/ANKRD6/PSMB7/NKD1/PSMB6/PSMA5/RBMS3/PSMA8/DKK2/PSMB4/AMFR/PSMD6/CDH2/MCC/FZD4/PSMD2/DDIT3/SIAH2/NOG/KREMEN1/SHISA6/PSMB8/PSMB9/PSMB3"	43
"BP"	"GO:0090276"	"regulation of peptide hormone secretion"	"42/2271"	"213/18866"	0.000824771338074917	0.0330447601464003	0.0305735670419515	"ABCC8/NOS2/NADK/ALOX5/ISL1/CASR/SRI/SIRT4/CDK16/TFR2/RAP1A/SLC2A1/KLF7/FKBP1B/TARDBP/IL1B/FFAR2/TRPM4/MTNR1B/GLUL/UQCC2/RBP4/CACNA1A/CELA2A/MPC2/ILDR1/SYBU/GJA1/TIAM1/KCNB1/GIP/KALRN/INHBB/CARTPT/SLC30A8/RAB8B/MYRIP/SYT9/KIF5B/FGA/EFNA5/FFAR3"	42
"BP"	"GO:1905039"	"carboxylic acid transmembrane transport"	"32/2271"	"150/18866"	0.000847894354435041	0.0336171100330188	0.0311031147691089	"SLC38A5/ATP1A2/SLC7A9/MPC1/SLC6A15/ACACB/SLC7A8/SLC7A5/AQP9/SLC17A7/SLC1A6/SLC1A5/FOLR1/TSPO2/SLC2A1/SLC6A8/SLC6A6/SLC3A1/MPC2/SLC25A38/SLC43A1/SLC16A12/SLC13A3/SLC38A11/ARL6IP1/LRRC8E/SLC38A9/SLC17A8/SLC35D3/SLC25A18/SLC36A3/SLC22A4"	32
"BP"	"GO:0010972"	"negative regulation of G2/M transition of mitotic cell cycle"	"23/2271"	"96/18866"	0.000850024805076332	0.0336171100330188	0.0311031147691089	"PSMA4/RBX1/PSMA3/PSMB5/PSME2/PSMA7/SKP1/PSMF1/PSMB7/PSMB6/PSMA5/PSMA8/PSMB4/PSMD6/RAD21/CDK1/PSMD2/FBXL7/FOXO4/HUS1B/PSMB8/PSMB9/PSMB3"	23
"BP"	"GO:0000422"	"autophagy of mitochondrion"	"20/2271"	"79/18866"	0.000866938535845306	0.0338492562084823	0.0313179003093162	"GABARAPL2/FBXO7/BNIP3L/GSK3A/HTRA2/OPTN/ATG14/ATP5IF1/GABARAPL1/MAP1LC3B/ATG3/CISD2/ATG12/WIPI2/PINK1/FUNDC2/GABARAP/WDR45/MAP1LC3C/FIS1"	20
"BP"	"GO:0061726"	"mitochondrion disassembly"	"20/2271"	"79/18866"	0.000866938535845306	0.0338492562084823	0.0313179003093162	"GABARAPL2/FBXO7/BNIP3L/GSK3A/HTRA2/OPTN/ATG14/ATP5IF1/GABARAPL1/MAP1LC3B/ATG3/CISD2/ATG12/WIPI2/PINK1/FUNDC2/GABARAP/WDR45/MAP1LC3C/FIS1"	20
"BP"	"GO:0042026"	"protein refolding"	"9/2271"	"23/18866"	0.000876060658148535	0.0339889356610792	0.031447134084639	"HSP90AA1/ST13/HSPA8/FKBP1B/DNAJB2/DNAJA4/HSPA6/HSPA1B/HSPA1A"	9
"BP"	"GO:1902750"	"negative regulation of cell cycle G2/M phase transition"	"25/2271"	"108/18866"	0.000888404875708775	0.0342510810571999	0.0316896754076059	"PSMA4/RBX1/PSMA3/PSMB5/PSME2/PSMA7/FZR1/BABAM1/SKP1/PSMF1/PSMB7/PSMB6/PSMA5/PSMA8/PSMB4/PSMD6/RAD21/CDK1/PSMD2/FBXL7/FOXO4/HUS1B/PSMB8/PSMB9/PSMB3"	25
"BP"	"GO:0009267"	"cellular response to starvation"	"34/2271"	"163/18866"	0.000904807429320886	0.0346654346358564	0.032073042297243	"AOC1/MYH13/GABARAPL2/NUAK1/TNRC6A/SH3GLB1/DEPDC5/XBP1/NPRL3/HSPA8/CPEB4/PRKAG3/SLC2A1/FOXO3/ATG14/WNT2B/GLUL/GABARAPL1/MAP1LC3B/PMAIP1/SESN3/FLCN/KLF10/RRAGA/WIPI2/INHBB/CARTPT/GABARAP/NIM1K/HIGD1A/UPP1/BECN2/WDR45/MAP1LC3C"	34
"BP"	"GO:0090316"	"positive regulation of intracellular protein transport"	"37/2271"	"182/18866"	0.00091386639653958	0.0347559205644117	0.0321567613979652	"GTSE1/TP73/SH3GLB1/PPM1A/E2F1/ZDHHC2/OAZ1/GSK3A/YWHAE/UBE2D3/MAPK14/PDCD10/HTRA2/RHOU/TARDBP/IL1B/YWHAH/RAN/ANP32B/KIF20B/PMAIP1/STOM/KCNB1/PINK1/MTCL1/MFF/YWHAG/CDK1/KIF5B/OAZ2/SLC35D3/UBE2L3/TFDP1/UBL5/LEPROT/FIS1/PPP3R1"	37
"BP"	"GO:0072527"	"pyrimidine-containing compound metabolic process"	"21/2271"	"85/18866"	0.000918508830576622	0.0347559205644117	0.0321567613979652	"UPP2/TBPL1/UPB1/ERH/NME4/APOBEC1/ALDH6A1/APOBEC3A/DUT/CMPK2/SLC19A3/TDG/AK5/DCK/TK1/DTYMK/DCTPP1/UPP1/NT5M/NME1/APOBEC3C"	21
"BP"	"GO:1903900"	"regulation of viral life cycle"	"33/2271"	"157/18866"	0.000930341099007531	0.0348404232671457	0.0322349447176751	"LTF/SRPK1/VAPA/ZC3HAV1/CAV2/HSPA8/SNX3/TRIM38/TRIM25/APOBEC3A/CHMP2A/TOP2A/TRIM22/INPP5K/RSAD2/IFITM3/FCN3/TNIP1/STOM/FBXL2/MX1/SNF8/IFI27/DDB1/TRIML2/RAD23A/KPNA2/IFITM2/ISG15/PLSCR1/TRIM10/APOBEC3C/HS3ST5"	33
