"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0006839"	"mitochondrial transport"	"54/2271"	"271/18866"	0.000123644006182559	0.00894948561580312	0.00828021438961916	"GCLC/MPC1/EYA2/ACACB/TP73/HSP90AA1/SIRT4/SH3GLB1/FBXO7/E2F1/BNIP3L/GSK3A/YWHAE/UBE2D3/TMEM14C/MRPL18/HTRA2/ATP5PB/RHOU/ATP5F1E/YWHAH/ATP5IF1/TIMM10/ABCB10/COX5B/TMEM14B/PMAIP1/MPC2/SLC25A38/DYNLT1/SLC25A37/TIMM8B/ATP5MC3/ATP5PF/PINK1/STOML2/ATP5F1C/ATP5MG/ATP5PD/MFF/YWHAG/BCL2L1/UCP2/SLC25A18/UBE2L3/TFDP1/UBL5/HSPA1A/LEPROT/FIS1/SIAH3/PPP3R1/ATP5MF/TIMM23"	54
"BP"	"GO:0010639"	"negative regulation of organelle organization"	"76/2271"	"416/18866"	0.000124904608346555	0.00894948561580312	0.00828021438961916	"GCLC/FKBP4/SCIN/MYOC/SPTB/TFRC/ADD2/MAP2/ATRX/ADD1/TPX2/SIRT4/OTUB2/HNRNPC/BMP7/RGCC/CORO2B/TJP1/APOBEC1/ASF1A/KAT2B/HTRA2/CAPZA1/CDC20/STMN1/CENPF/UBE2B/TEX14/H1-3/VIL1/CGNL1/CHMP2A/TOP2A/INPP5K/KANK4/USP44/TMOD1/DMRT1/HMGA1/TOM1L1/ARRB2/SNCA/FEZ1/FLCN/WASF2/PINK1/DMTN/H3-3A/TMOD4/SPTA1/MAD2L1/PTTG1/RAD21/BMERB1/TERF2IP/PRRT2/CDT1/H1-4/PRELID1/BCL2L1/NUPR1/SMCR8/CDH5/HIGD1A/CAV3/H1-5/KDM4D/ESPN/H1-2/NANOS2/H1-0/CAPZA2/HSPA1A/SIAH3/GPX1/SEC22B"	76
"BP"	"GO:0001736"	"establishment of planar polarity"	"30/2271"	"124/18866"	0.000125395583968481	0.00894948561580312	0.00828021438961916	"PSMA4/AP2S1/PSMA3/PSMB5/PSME2/PSMA7/PLEKHA4/IFT20/PSMF1/ANKRD6/PSMB7/NKD1/CLTC/ARRB2/PSMB6/PSMA5/PSMA8/TIAM1/PSMB4/AP2M1/VANGL2/PSMD6/PRICKLE2/FZD4/PSMD2/MAGI2/AP2A1/PSMB8/PSMB9/PSMB3"	30
"BP"	"GO:0007164"	"establishment of tissue polarity"	"30/2271"	"124/18866"	0.000125395583968481	0.00894948561580312	0.00828021438961916	"PSMA4/AP2S1/PSMA3/PSMB5/PSME2/PSMA7/PLEKHA4/IFT20/PSMF1/ANKRD6/PSMB7/NKD1/CLTC/ARRB2/PSMB6/PSMA5/PSMA8/TIAM1/PSMB4/AP2M1/VANGL2/PSMD6/PRICKLE2/FZD4/PSMD2/MAGI2/AP2A1/PSMB8/PSMB9/PSMB3"	30
"BP"	"GO:0006402"	"mRNA catabolic process"	"70/2271"	"376/18866"	0.000126716151620993	0.00894948561580312	0.00828021438961916	"SLC11A1/PSMA4/YBX3/YBX1/IGF2BP2/TNRC6C/TNRC6A/HNRNPC/GTPBP1/PSMA3/PSMB5/PSME2/PSMA7/E2F1/GSPT1/ZC3HAV1/HSPB1/CASC3/HSPA8/APOBEC1/MAPK14/RBM24/RPS12/RPL24/TARDBP/RPL21/AGO2/PSMF1/RPS15A/IGF2BP3/PSMB7/RPLP1/RPS24/HNRNPD/PSMB6/RPS11/SERBP1/PSMA5/UPF2/PSMA8/RPL30/TENT5B/IGF2BP1/PSMB4/BTG2/PSMD6/UPF3A/UBB/LSM3/GTPBP2/RPL38/PSMD2/RPLP2/EXOSC4/RPL35A/TENT5C/NANOS2/RPS26/RPL12/NUDT16/RPL39/PSMB8/HSPA1B/HSPA1A/UBA52/RPL41/SLFN14/PSMB9/RPL17/PSMB3"	70
"BP"	"GO:0015671"	"oxygen transport"	"8/2271"	"15/18866"	0.000127892584303287	0.00894948561580312	0.00828021438961916	"HBQ1/HBA2/HBG2/HBA1/HBM/HBG1/HBD/HBB"	8
"BP"	"GO:0000045"	"autophagosome assembly"	"25/2271"	"96/18866"	0.000129325928390922	0.00894948561580312	0.00828021438961916	"GABARAPL2/VMP1/NSFL1C/SH3GLB1/NPRL3/IFT20/RAB23/ATG14/RAB1A/GABARAPL1/MAP1LC3B/ATG3/ATG12/FEZ1/PIP4K2A/WIPI2/PINK1/GABARAP/NUPR1/SMCR8/BECN2/WDR45/MAP1LC3C/RNF5/SEC22B"	25
"BP"	"GO:0043687"	"post-translational protein modification"	"68/2271"	"363/18866"	0.000129935435531236	0.00894948561580312	0.00828021438961916	"PSMA4/DCUN1D1/CHGB/SERPIND1/FBXO7/RBX1/PSMA3/PSMB5/DCAF11/PSME2/PSMA7/ELOB/WSB1/FBXO9/SKP1/KNG1/RNF7/CISH/EVA1A/SERPINC1/FBXO30/FBXL5/FGF23/PSMF1/KTN1/NEDD8/APOE/UBE2M/MATN3/DCAF8/PSMB7/RAB1A/CUL4A/COPS3/FBXO15/PSMB6/WDTC1/PSMA5/DCAF6/AHSG/ATG12/PSMA8/FLCN/ANKRD9/WIPI2/PSMB4/FBXO27/PSMD6/FBXO40/HSP90B1/FN3K/DDB1/CDH2/SOCS6/FGA/FBXW10/SPSB4/PSMD2/PNPLA2/FBXL7/KLHL25/UBE2F/SOCS3/RAB11B/DCUN1D3/PSMB8/PSMB9/PSMB3"	68
"BP"	"GO:0009394"	"2'-deoxyribonucleotide metabolic process"	"12/2271"	"31/18866"	0.00013956983661743	0.00950625664960943	0.00879534830052298	"TBPL1/NUDT1/DUT/CMPK2/TDG/GUK1/AK5/DCK/DTYMK/DCTPP1/NUDT16/NT5M"	12
"BP"	"GO:0015985"	"energy coupled proton transport, down electrochemical gradient"	"11/2271"	"27/18866"	0.000154439954170035	0.0102904012941556	0.00952085209460124	"VPS9D1/ATP5PB/ATP5F1E/COX5B/ATP5MC3/ATP5PF/STOML2/ATP5F1C/ATP5MG/ATP5PD/ATP5MF"	11
